"country","sp_prop"
"AU",0.270186335403727
"IT",0.0281195079086116
"GB",0.117229129662522
"US",0.242562929061785
"NZ",0.0829787234042553
"FR",0.147445255474453
"EC",0.0911764705882353
"ES",0.328
"MU",0.00578034682080925
"BR",0.0303605313092979
"AR",0.0277777777777778
"CL",0.0345821325648415
"MX",0.0572337042925278
"CA",0.0657640232108317
"IE",0.00784313725490196
"SE",0.0539956803455724
"DK",0.0535211267605634
"EE",0.00335570469798658
"SC",0.0357142857142857
"FI",0.0459016393442623
"DE",0.0351758793969849
"MY",0.0156862745098039
"MM",0.0106951871657754
"TH",0.0181159420289855
"NL",0.0569852941176471
"MT",0.00775193798449612
"ZA",0.0723809523809524
"LT",0.0208333333333333
"CN",0.0684931506849315
"NO",0.0846153846153846
"PT",0.0199600798403194
"PH",0.0036231884057971
"VN",0.00793650793650794
"BE",0.0142095914742451
"VE",0.00793650793650794
"PK",0.0153374233128834
"DO",0.004149377593361
"TZ",0.0108303249097473
"SG",0.0102564102564103
"GR",0.0075
"LY",0
"HU",0.00632911392405063
"AT",0.0100502512562814
"BZ",0
"GT",0.00775193798449612
"PG",0.00471698113207547
"GD",0.00961538461538462
"TT",0.005
"KN",0.010989010989011
"LC",0.0113636363636364
"BJ",0.025
"FJ",0.0140845070422535
"IN",0.0193423597678917
"KE",0.0134228187919463
"IL",0
"EG",0.0068259385665529
"CO",0.0115473441108545
"PE",0
"GH",0.0131578947368421
"GN",0
"TG",0.00943396226415094
"BG",0.00749063670411985
"GE",0.00396825396825397
"RO",0.0068259385665529
"RU",0.0600461893764434
"TR",0.00767263427109974
"UA",0.0126582278481013
"BT",0.00578034682080925
"BN",0
"KH",0
"ID",0.0028735632183908
"LA",0.00714285714285714
"TL",0.0111111111111111
"PA",0.00374531835205993
"SV",0.00515463917525773
"BO",0
"CR",0.00335570469798658
"CU",0.0150375939849624
"HN",0.00431034482758621
"NI",0.0050251256281407
"PY",0
"SR",0
"UY",0.0110294117647059
"LK",0.00408163265306122
"BD",0
"MV",0.0161290322580645
"MG",0.00452488687782805
"ML",0.010752688172043
"MA",0
"KM",0.0126582278481013
"CI",0.00641025641025641
"CF",0.0131578947368421
"BF",0.0106382978723404
"ZM",0.00628930817610063
"AO",0
"ET",0.00900900900900901
"NG",0.00512820512820513
"GW",0
"CY",0.00909090909090909
"JP",0.0809352517985611
"SN",0.012987012987013
"ZW",0.00469483568075117
"JM",0.00409836065573771
"SZ",0
"CH",0.0117370892018779
"MR",0
"TN",0
"BH",0
"QA",0
"AL",0.00520833333333333
"MK",0.00595238095238095
"KW",0
"BY",0.0048780487804878
"ME",0.00483091787439614
"MD",0.00699300699300699
"BA",0.00568181818181818
"PL",0.00576368876080692
"LU",0
"OM",0
"RS",0.00408163265306122
"UG",0.0168539325842697
"SI",0.00738007380073801
"CZ",0.00906344410876133
"HR",0.00564971751412429
"SK",0.00793650793650794
"MW",0
"SA",0
"AE",0
"RW",0
"NE",0.0113636363636364
"MZ",0.00540540540540541
"CD",0
"CM",0
"IR",0
"NP",0.00478468899521531
"CK",0
"FM",0
"KI",0
"NR",0
"NU",0
"PW",0
"MH",0
"WS",0
"SB",0
"TO",0
"TV",0
"VU",0.00943396226415094
"IS",0.0101010101010101
"AG",0.0185185185185185
"BB",0.0170940170940171
"KR",0
